ticker,metric,fy,filing,filed,instance_value,instance_tag,sheet_value,sheet_tag,match
KR,revenue,2021,0001558370-23-004767,2023-03-28,137888000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,137888000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
KR,revenue,2020,0001558370-23-004767,2023-03-28,132498000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,132498000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
KR,cost_of_sales,2022,0001558370-23-004767,2023-03-28,116480000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,116480000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,cost_of_sales,2021,0001558370-23-004767,2023-03-28,107539000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,107539000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,cost_of_sales,2020,0001558370-23-004767,2023-03-28,101597000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,101597000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,net_income,2022,0001558370-23-004767,2023-03-28,2244000000.0,NetIncomeLoss,2244000000.0,NetIncomeLoss,True
KR,net_income,2021,0001558370-23-004767,2023-03-28,1655000000.0,NetIncomeLoss,1655000000.0,NetIncomeLoss,True
KR,net_income,2020,0001558370-23-004767,2023-03-28,2585000000.0,NetIncomeLoss,2585000000.0,NetIncomeLoss,True
KR,total_equity,2019,0001558370-23-004767,2023-03-28,8573000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,8573000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,total_equity,2020,0001558370-23-004767,2023-03-28,9550000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,9550000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,current_assets,2021,0001558370-22-004595,2022-03-29,12174000000.0,AssetsCurrent,12174000000.0,AssetsCurrent,True
KR,current_assets,2020,0001558370-22-004595,2022-03-29,12503000000.0,AssetsCurrent,12503000000.0,AssetsCurrent,True
KR,current_liabilities,2021,0001558370-22-004595,2022-03-29,16323000000.0,LiabilitiesCurrent,16323000000.0,LiabilitiesCurrent,True
KR,current_liabilities,2020,0001558370-22-004595,2022-03-29,15366000000.0,LiabilitiesCurrent,15366000000.0,LiabilitiesCurrent,True
KR,total_equity,2021,0001558370-22-004595,2022-03-29,9429000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,9429000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,total_equity,2020,0001558370-22-004595,2022-03-29,9550000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,9550000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,revenue,2021,0001558370-22-004595,2022-03-29,137888000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,137888000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
KR,revenue,2020,0001558370-22-004595,2022-03-29,132498000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,132498000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
KR,revenue,2019,0001558370-22-004595,2022-03-29,122286000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,122286000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
KR,cost_of_sales,2021,0001558370-22-004595,2022-03-29,107539000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,107539000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,cost_of_sales,2020,0001558370-22-004595,2022-03-29,101597000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,101597000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,cost_of_sales,2019,0001558370-22-004595,2022-03-29,95294000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,95294000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,net_income,2021,0001558370-22-004595,2022-03-29,1655000000.0,NetIncomeLoss,1655000000.0,NetIncomeLoss,True
KR,net_income,2020,0001558370-22-004595,2022-03-29,2585000000.0,NetIncomeLoss,2585000000.0,NetIncomeLoss,True
KR,net_income,2019,0001558370-22-004595,2022-03-29,1659000000.0,NetIncomeLoss,1659000000.0,NetIncomeLoss,True
